,psize
611,1.0
612,15.9307151689
613,8.3150336164
614,6.615698409999999
615,5.615715062499999
616,7.315023436899999
617,1.0692594024999997
618,4.615708496400001
619,3.1921539556
620,3.1921539556
621,1.9999899240999999
622,1.0
623,4.0
624,1.9999899240999999
625,2.9999972025000003
626,1.9999899240999999
627,1.0
628,1.0
629,15.748198559999999
630,14.748211315599999
631,6.874097422499999
632,1.2517805689
633,6.874097422499999
634,6.0000012600999995
635,6.0000012600999995
636,3.5000048889
637,1.0
638,2.9999972025000003
639,2.5000036996
640,2.5000036996
641,3.5000048889
642,2.9999972025000003
643,1.9999899240999999
644,1.9999899240999999
645,1.0
646,8.500023630400001
647,8.500023630400001
648,3.2857362755999997
649,5.8571260225
650,5.8571260225
651,9.7142552329
652,4.3571552644
653,4.3571552644
654,2.2857206596
655,3.5000048889
656,3.5000048889
657,4.0
658,1.0
659,1.4999880676
660,1.0
661,1.4999880676
662,1.0
663,6.4975539409000005
664,6.502449000100001
665,5.5019331843999995
666,5.000009044899999
667,5.498087040000001
668,4.0
669,6.166431232899999
670,1.9999899240999999
671,2.9999972025000003
672,2.8335662223999996
673,1.8335597281
674,5.1664380804
675,4.1664157924000005
676,1.0
677,2.0011780369000003
678,1.0
679,1.0
680,1.9988304399999999
681,11.717955922500002
682,10.717962868899999
683,9.7179957169
684,6.0000012600999995
685,4.282043876100001
686,5.2820449929
687,6.0000012600999995
688,1.0
689,5.000009044899999
690,5.000009044899999
691,2.9998932804
692,3.0001011264
693,1.9999050724
694,1.0
695,2.0001030625
696,1.0
697,1.9999899240999999
698,1.0
699,5.1074644009000005
700,6.262055808099999
701,5.1074644009000005
702,6.7850351361
703,5.785035144099999
704,2.7379328089
705,7.785048628899999
706,1.9999899240999999
707,2.9999972025000003
708,1.9528944515999997
709,1.0
710,5.2620689664
711,4.2620776704
712,1.9999899240999999
713,2.9999972025000003
714,1.9999899240999999
715,1.0
716,1.0
717,12.32220609
718,2.7262302769
719,11.3222155225
720,1.7262280996000001
721,2.9515927204000003
722,7.024938211599999
723,5.248818460900001
724,6.0249629764
725,2.7511861689000003
726,2.9999972025000003
727,1.9999899240999999
728,4.2488340129
729,3.2488260025000004
730,1.0
731,1.7511758224000002
732,2.2488301521000005
733,1.0
734,1.0
735,19.00000921
736,14.820113096099998
737,11.0358168804
738,6.107867388100001
739,6.107867388100001
740,10.215694440000002
741,9.2157173476
742,3.1798735684
743,2.7842927044
744,1.7842814928999997
745,2.5000036996
746,4.0
747,2.9999972025000003
748,2.5000036996
749,2.9999972025000003
750,1.0
751,1.9999899240999999
752,1.0
753,1.0
754,8.2085115025
755,2.5829632655999997
756,5.708515562500001
757,8.2085115025
758,14.4170571204
759,6.7085144064
760,5.470406432100001
761,4.470433635599999
762,1.5829665856
763,6.7085144064
764,5.708515562500001
765,2.5295948209000003
766,3.4704336681
767,1.5295752976
768,2.9999972025000003
769,1.0
770,1.9999899240999999
771,1.0
772,1.0
773,17.999994169599997
774,1.0
775,17.000036072099995
776,16.0
777,13.6039994896
778,12.603991044099999
779,11.6039697316
780,3.6666505225
781,3.6666505225
782,4.0
783,1.3960131408999998
784,3.6666505225
785,2.5000036996
786,4.0
787,2.5000036996
788,1.9999899240999999
789,1.0
790,1.0
791,1.0
792,6.9355329316
793,9.8710957489
794,6.9355329316
795,5.1289113841
796,4.1289020809
797,8.8711048336
798,1.9999899240999999
799,7.871110802500001
800,3.1289010768999996
801,6.8711088384000005
802,5.871074380899999
803,2.1289144463999996
804,1.0
805,2.9999972025000003
806,2.0000182084
807,2.9999972025000003
808,1.0
809,1.0
810,1.9999899240999999
811,9.5000184841
812,9.5000184841
813,6.159033427599999
814,5.1590308225
815,4.6819438884
816,6.159033427599999
817,2.6819630289
818,5.1590308225
819,8.31803281
820,6.127159596099999
821,3.6819469456000005
822,3.80913289
823,1.0
824,1.9999899240999999
825,2.9999972025000003
826,1.9999899240999999
827,1.1908702129
828,1.0
829,1.0
830,7.6807133881
831,7.6807133881
832,6.680725784099999
833,4.6385959876
834,5.680690896400001
835,3.6385944001
836,6.680725784099999
837,5.680690896400001
838,2.6385778969
839,9.3613969296
840,8.3614083921
841,3.3613922281
842,4.0
843,1.6386048064000003
844,2.9999972025000003
845,1.9999899240999999
846,1.9999899240999999
847,1.0
848,1.0
849,1.0
850,7.631019504900001
851,4.737979356099999
852,3.7379968921
853,2.7379989961
854,13.261978890000002
855,7.631019504900001
856,1.1212480321000002
857,11.1407753284
858,10.1407218025
859,9.1407661569
860,5.7072254404
861,2.9999972025000003
862,1.9999899240999999
863,4.7072075521
864,1.2927917401000002
865,1.9999899240999999
866,1.0
867,1.9999899240999999
868,1.9999899240999999
869,1.0
870,1.0
871,5.839955559999999
872,5.839955559999999
873,8.320051802500002
874,7.320054913600001
875,6.3200451609
876,7.679937412899999
877,8.6799176689
878,4.964830676100001
879,3.9648376161
880,7.0351727121000005
881,1.9999899240999999
882,2.9999625616000003
883,2.9999972025000003
884,3.0352259961
885,1.9999899240999999
886,1.9999899240999999
887,1.0
888,1.0
889,1.0
890,10.0000147984
891,10.0000147984
892,5.5771073281
893,4.5771179364
894,6.8457582735999996
895,4.5771179364
896,5.845756840000001
897,4.830412752400001
898,5.5771073281
899,4.8457657161
900,5.8304380368999995
901,3.8457563236000003
902,1.3237883136000002
903,4.0
904,1.0
905,2.9999972025000003
906,1.9999899240999999
907,1.0
908,1.9999899240999999
909,1.0
910,9.501991200900001
911,8.5017146929
912,8.498274432399999
913,1.0
914,7.9980930481
915,9.4979843344
916,5.705696595599999
917,6.001912014399999
918,5.0018875200999995
919,1.2924051856
920,7.001898132100001
921,4.7056889476
922,5.000009044899999
923,4.0
924,2.9999972025000003
925,1.0
926,1.0
927,1.9999899240999999
928,1.9999899240999999
929,1.0
930,8.07753241
931,7.077515329599999
932,12.9224432484
933,6.974564083600001
934,5.9745536041000005
935,4.9479108721000005
936,10.025455690000001
937,4.974550336900001
938,2.7414418328999997
939,4.5127354624
940,5.5170963225000005
941,4.5127354624
942,2.7414418328999997
943,4.5171126225
944,3.5170876520999994
945,2.4828935184
946,1.0
947,2.5170774409
948,1.0
949,1.4829150625000003
950,1.0
951,7.0002047241
952,7.000045977600001
953,6.999728490000001
954,1.9999616399999998
955,3.0000318436
956,5.999903280899999
957,6.00005025
958,6.00005025
959,5.000053766399999
960,3.9998000025
961,1.9999616399999998
962,4.9999196025
963,3.9999600000999997
964,2.0000747775999996
965,5.000053766399999
966,2.9999625616000003
967,4.0002400036
968,1.0
969,2.9999972025000003
970,1.0
971,1.0
972,7.0793777041
973,5.4964458025
974,4.8172787289
975,4.496435430400001
976,7.0793777041
977,6.8412587364
978,5.841260596899999
979,5.662353384900001
980,6.4964324161
981,5.817261610000001
982,2.9999972025000003
983,4.3137213025
984,3.6862848008999998
985,3.3137105296
986,1.0
987,1.6863100164000002
988,1.9999899240999999
989,1.0
990,2.6862882201
991,1.0
992,1.9999899240999999
993,7.0114273681
994,7.0114273681
995,6.977152444900001
996,5.9771448324
997,2.1474557763999997
998,5.950135704100001
999,6.779774440000001
1000,6.0727744900000005
1001,7.779803992899999
1002,1.1474694399999998
1003,5.779792974399999
1004,3.0727635849000006
1005,4.7797765129
1006,5.072765198399999
1007,2.9272472464
1008,4.0727679721
1009,1.4999880676
1010,2.0727648841
1011,1.4999880676
1012,1.0
1013,1.0
1014,6.990101454399999
1015,5.9901094009
1016,3.1633468164000003
1017,7.019797260100001
1018,6.990101454399999
1019,8.019827524899998
1020,6.019809460900001
1021,6.8168510281
1022,5.019795440099999
1023,5.8168274761
1024,2.1633703056
1025,5.9901094009
1026,3.7752878600999997
1027,5.061375062500001
1028,2.7752894464000004
1029,2.2247214024999997
1030,2.9999972025000003
1031,1.0
1032,1.9999899240999999
1033,1.0
1034,1.9999899240999999
1035,1.0
1036,10.9999682244
1037,10.0000147984
1038,10.9999682244
1039,10.0000147984
1040,6.999993062500001
1041,17.999994169599997
1042,1.0
1043,8.0000162649
1044,8.0000162649
1045,11.999988810000001
1046,6.999993062500001
1047,10.9999682244
1048,1.6944749584
1049,7.3055062368999995
1050,6.305522766400001
1051,1.0
1052,2.9999972025000003
